municipio,aprov_fundamental,aprov_medio,aprov_fun_anos_iniciais,aprov_fun_anos_finais,reprov_fundamental,reprov_medio,abandono_fundamental,abandono_medio
Angra dos Reis,95.9,83.1,98.3,92.7,3.5,14.2,0.6,2.7
Aperibé,96.2,96.6,96.4,95.9,3.8,3.4,0.0,0.0
Araruama,88.2,87.4,91.1,84.3,11.1,7.8,0.7,4.8
Areal,95.6,89.9,98.7,91.1,4.4,6.9,0.0,3.2
Armação dos Búzios,87.8,78.2,91.1,83.2,11.3,15.0,0.9,6.8
Arraial do Cabo,89.0,94.8,90.9,86.2,10.3,4.9,0.7,0.3
Barra do Piraí,92.1,85.5,94.4,88.9,7.4,11.1,0.5,3.4
Barra Mansa,91.9,90.3,93.2,90.1,7.8,7.6,0.3,2.1
Belford Roxo,91.6,85.1,93.5,88.9,7.0,9.5,1.4,5.4
Bom Jardim,90.5,90.3,92.3,88.0,9.3,8.8,0.2,0.9
Bom Jesus do Itabapoana,96.2,93.3,98.6,93.3,3.8,6.6,0.0,0.1
Cabo Frio,86.4,84.4,89.5,82.2,12.0,11.3,1.6,4.3
Cachoeiras de Macacu,87.3,88.4,89.6,83.9,12.4,8.6,0.3,3.0
Cambuci,94.9,86.6,96.5,92.6,5.1,13.4,0.0,0.0
Carapebus,90.8,83.8,92.6,88.3,9.2,16.2,0.0,0.0
Comendador Levy Gasparian,86.7,86.7,88.1,84.5,13.3,9.3,0.0,4.0
Campos dos Goytacazes,90.2,86.5,94.9,84.2,9.0,11.0,0.8,2.5
Cantagalo,89.6,94.2,89.4,89.7,10.4,3.5,0.0,2.3
Cardoso Moreira,87.0,89.8,85.4,89.1,13.0,6.5,0.0,3.7
Carmo,92.0,90.8,93.5,90.1,7.8,9.2,0.2,0.0
Casimiro de Abreu,85.4,81.3,87.8,82.0,14.4,11.7,0.2,7.0
Conceição de Macabu,94.4,89.1,94.3,94.5,5.5,8.6,0.1,2.3
Cordeiro,98.3,96.3,99.2,97.2,1.6,2.7,0.1,1.0
Duas Barras,89.3,95.3,88.0,91.0,10.6,3.7,0.1,1.0
Duque de Caxias,90.5,86.0,91.7,88.7,8.5,8.3,1.0,5.7
Engenheiro Paulo de Frontin,97.9,94.3,97.9,98.0,2.0,2.7,0.1,3.0
Guapimirim,88.8,86.5,90.3,86.8,10.9,9.9,0.3,3.6
Iguaba Grande,93.1,85.5,94.1,91.7,6.9,9.4,0.0,5.1
Itaboraí,90.2,84.8,92.5,87.0,9.1,12.0,0.7,3.2
Itaguaí,90.9,87.0,92.9,88.1,8.5,10.0,0.6,3.0
Italva,94.2,96.3,94.7,93.4,5.8,2.4,0.0,1.3
Itaocara,92.7,96.0,93.2,91.9,7.2,3.9,0.1,0.1
Itaperuna,94.1,94.8,96.9,90.5,5.8,4.5,0.1,0.7
Itatiaia,89.6,89.5,90.8,87.8,9.7,5.8,0.7,4.7
Japeri,91.5,87.9,91.3,91.8,7.6,7.2,0.9,4.9
Laje do Muriaé,91.4,77.8,93.6,88.0,8.5,19.6,0.1,2.6
Macaé,92.5,82.3,94.3,89.9,7.0,15.3,0.5,2.4
Macuco,89.3,93.0,90.9,87.2,10.3,5.0,0.4,2.0
Magé,90.0,85.1,90.1,90.0,9.3,11.0,0.7,3.9
Mangaratiba,89.1,88.0,92.8,84.1,10.9,7.8,0.0,4.2
Maricá,95.6,78.1,97.2,93.7,4.3,15.5,0.1,6.4
Mendes,91.4,86.3,96.2,84.9,8.1,7.2,0.5,6.5
Mesquita,91.7,82.8,93.9,88.4,7.5,11.6,0.8,5.6
Miguel Pereira,91.5,89.8,95.1,87.6,8.2,8.8,0.3,1.4
Miracema,90.3,95.4,92.0,88.3,9.7,3.2,0.0,1.4
Natividade,98.0,97.0,99.3,96.5,1.9,3.0,0.1,0.0
Nilópolis,94.1,84.8,96.2,91.6,5.5,12.1,0.4,3.1
Niterói,92.7,84.8,95.9,88.6,6.7,12.1,0.6,3.1
Nova Friburgo,92.0,87.1,93.8,89.6,7.8,11.5,0.2,1.4
Nova Iguaçu,92.9,89.3,94.2,91.4,6.3,6.5,0.8,4.2
Paracambi,92.3,89.1,91.2,93.7,7.3,6.1,0.4,4.8
Paraíba do Sul,88.9,88.0,92.4,84.6,10.8,9.0,0.3,3.0
Paraty,91.6,85.9,95.4,86.6,7.7,10.6,0.7,3.5
Paty do Alferes,90.1,85.3,91.3,88.3,9.9,8.3,0.0,6.4
Petrópolis,94.3,83.9,96.1,91.9,5.5,11.6,0.2,4.5
Pinheiral,85.7,93.8,89.1,81.1,14.3,5.3,0.0,0.9
Piraí,91.6,86.4,93.7,88.9,8.3,10.0,0.1,3.6
Porciúncula,94.9,93.5,95.2,94.6,4.7,4.7,0.4,1.8
Porto Real,93.1,89.5,96.6,87.9,6.9,7.8,0.0,2.7
Quatis,92.2,84.5,94.6,89.2,7.4,11.1,0.4,4.4
Queimados,93.7,86.3,95.3,91.5,5.6,8.5,0.7,5.2
Quissamã,91.6,84.1,91.2,92.2,8.3,12.8,0.1,3.1
Resende,93.8,87.2,96.0,91.0,6.1,10.4,0.1,2.4
Rio Bonito,92.0,87.6,93.3,90.3,7.6,9.7,0.4,2.7
Rio Claro,94.9,91.6,97.2,92.2,5.0,7.1,0.1,1.3
Rio das Flores,97.5,85.6,97.7,97.2,2.5,11.0,0.0,3.4
Rio das Ostras,91.6,82.9,93.3,89.4,8.2,15.6,0.2,1.5
Rio de Janeiro,98.1,81.0,98.8,97.3,1.6,13.2,0.3,5.8
Santa Maria Madalena,88.0,96.9,88.5,87.2,11.5,2.7,0.5,0.4
Santo Antônio de Pádua,95.5,93.0,96.4,94.5,4.5,7.0,0.0,0.0
São Francisco de Itabapoana,87.4,85.0,88.6,85.6,11.8,10.7,0.8,4.3
São Fidélis,89.7,91.9,90.8,88.3,10.2,6.8,0.1,1.3
São Gonçalo,89.9,85.7,91.9,87.3,9.0,11.0,1.1,3.3
São João da Barra,87.2,89.9,86.4,88.3,12.0,8.2,0.8,1.9
São João de Meriti,92.9,85.2,95.0,89.9,6.2,10.2,0.9,4.6
São José de Ubá,91.4,80.1,99.7,80.9,8.3,11.9,0.3,8.0
São José do Vale do Rio Preto,91.0,89.0,92.7,88.6,8.7,4.6,0.3,6.4
São Pedro da Aldeia,89.2,87.1,90.8,87.0,10.2,10.0,0.6,2.9
São Sebastião do Alto,88.1,94.3,87.8,88.5,11.8,5.0,0.1,0.7
Sapucaia,90.6,92.6,92.7,87.7,9.4,6.7,0.0,0.7
Saquarema,88.0,80.5,89.8,85.6,11.7,13.8,0.3,5.7
Seropédica,94.4,90.0,94.8,93.9,5.1,8.6,0.5,1.4
Silva Jardim,85.9,84.6,87.0,84.3,13.9,9.7,0.2,5.7
Sumidouro,91.3,86.7,93.1,88.6,8.7,11.2,0.0,2.1
Tanguá,90.5,80.7,92.6,87.2,9.1,14.5,0.4,4.8
Teresópolis,95.9,87.2,98.3,92.9,4.0,10.0,0.1,2.8
Trajano de Moraes,92.1,97.3,90.2,94.4,7.6,2.1,0.3,0.6
Três Rios,91.6,85.6,93.0,89.8,7.7,10.6,0.7,3.8
Valença,89.6,94.3,90.3,88.7,10.0,4.7,0.4,1.0
Varre-Sai,96.7,94.5,98.2,95.0,3.3,4.7,0.0,0.8
Vassouras,91.4,80.1,93.6,88.5,8.6,18.7,0.0,1.2
Volta Redonda,93.9,89.7,93.4,94.6,5.8,8.4,0.3,1.9
